金创药(小),药品类,0,0,1
魔法药(小),药品类,0,0,1
肉,其他类,0,0,1
布衣(男),服装类,0,0,1
布衣(女),服装类,0,0,1
木剑,武器类,0,0,1
铁剑,武器类,0,0,1
青铜剑,武器类,0,0,1
轻型盔甲(男),服装类,0,0,1
轻型盔甲(女),服装类,0,0,1
干肉,其他类,0,0,1
包子,其他类,0,0,1
凝霜,武器类,0,0,1
火球术,其他类,0,0,1
治愈术,其他类,0,0,1
基本剑术,其他类,0,0,1
蜡烛,其他类,0,0,1
短剑,武器类,0,0,1
精神力战法,其他类,0,0,1
青铜斧,武器类,0,0,1
重盔甲(女),服装类,0,0,1
魔法长袍(女),服装类,0,0,1
灵魂战衣(女),服装类,0,0,1
重盔甲(男),服装类,0,0,1
魔法长袍(男),服装类,0,0,1
灵魂战衣(男),服装类,0,0,1
大火球,其他类,0,0,1
攻杀剑术,其他类,0,0,1
施毒术,其他类,0,0,1
匕首,武器类,0,0,1
井中月,武器类,1,1,1
银蛇,武器类,1,1,1
海魂,武器类,0,0,1
修罗,武器类,0,0,1
炼狱,武器类,1,1,1
凌风,武器类,0,0,1
破魂,武器类,0,0,1
斩马刀,武器类,0,0,1
食人树叶,其他类,0,0,1
毒蜘蛛牙齿,其他类,0,0,1
食人树果实,其他类,0,0,1
蝎子尾巴,其他类,0,0,1
蛆卵,其他类,0,0,1
灰色药粉(小),其他类,0,0,1
黄色药粉(小),其他类,0,0,1
古铜戒指,首饰类,0,0,1
青铜头盔,服装类,0,0,1
金项链,首饰类,0,0,1
铁手镯,首饰类,0,0,1
灰色药粉(中),其他类,0,0,1
灰色药粉(大),其他类,0,0,1
黄色药粉(中),其他类,0,0,1
黄色药粉(大),其他类,0,0,1
乌木剑,武器类,0,0,1
魔杖,武器类,1,1,1
八荒,武器类,0,0,1
鸡肉,其他类,0,0,1
玻璃戒指,首饰类,0,0,1
牛角戒指,首饰类,0,0,1
蓝色水晶戒指,首饰类,0,0,1
六角戒指,首饰类,0,0,1
黑檀项链,首饰类,0,0,1
黄色水晶项链,首饰类,0,0,1
黑色水晶项链,首饰类,0,0,1
魔法头盔,服装类,0,0,1
沃玛号角,其他类,0,0,1
半月,武器类,0,0,1
皮制手套,首饰类,0,0,1
坚固手套,首饰类,0,0,1
钢手镯,首饰类,0,0,1
生铁戒指,首饰类,0,0,1
金戒指,首饰类,0,0,1
灯笼项链,首饰类,0,0,1
白色虎齿项链,首饰类,0,0,1
魅力戒指,首饰类,0,0,1
道德戒指,首饰类,0,0,1
白金项链,首饰类,0,0,1
降妖除魔戒指,首饰类,0,0,1
躲避项链,首饰类,0,0,1
地牢逃脱卷,其他类,0,0,1
偃月,武器类,0,0,1
降魔,武器类,0,0,1
传统项链,首饰类,0,0,1
小手镯,首饰类,0,0,1
银手镯,首饰类,0,0,1
大手镯,首饰类,0,0,1
鹤嘴锄,首饰类,0,0,1
隐身戒指,首饰类,0,0,1
抗拒火环,其他类,0,0,1
地狱火,其他类,0,0,1
雷电术,其他类,0,0,1
疾光电影,其他类,0,0,1
灵魂火符,其他类,0,0,1
幽灵盾,其他类,0,0,1
神圣战甲术,其他类,0,0,1
金创药(中),药品类,0,0,1
魔法药(中),药品类,0,0,1
黑色水晶戒指,首饰类,0,0,1
魔鬼项链,首饰类,0,0,1
珊瑚戒指,首饰类,0,0,1
蓝翡翠项链,首饰类,0,0,1
蛇眼戒指,首饰类,0,0,1
琥珀项链,首饰类,0,0,1
护身符,其他类,0,0,1
刺杀剑术,其他类,0,0,1
放大镜,首饰类,0,0,1
红宝石戒指,首饰类,1,1,1
珍珠戒指,首饰类,0,0,1
竹笛,首饰类,0,0,1
铂金戒指,首饰类,1,1,1
骷髅戒指,首饰类,0,0,1
龙之戒指,首饰类,1,1,1
